from_id,pro,to_id
1,前置知识点,2
1,前置知识点,11
1,前置知识点,20
1,前置知识点,29
1,前置知识点,33
1,前置知识点,42
2,前置知识点,3
2,前置知识点,4
2,前置知识点,5
2,前置知识点,6
2,前置知识点,7
2,前置知识点,8
2,前置知识点,9
2,前置知识点,10
11,前置知识点,12
11,前置知识点,13
11,前置知识点,14
11,前置知识点,18
11,前置知识点,19
14,前置知识点,15
15,前置知识点,16
15,前置知识点,17
20,前置知识点,21
20,前置知识点,27
20,前置知识点,28
21,前置知识点,22
21,前置知识点,23
21,前置知识点,24
21,前置知识点,25
21,前置知识点,26
29,前置知识点,30
29,前置知识点,31
29,前置知识点,32
33,前置知识点,34
33,前置知识点,35
33,前置知识点,36
33,前置知识点,38
36,前置知识点,37
38,前置知识点,39
38,前置知识点,40
38,前置知识点,41
42,前置知识点,43
42,前置知识点,44
42,前置知识点,45
